title,year,kdrama_id,director,screenwriter,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop,music_score,story_score,acting_cast_score,rewatch_value_score,overall_score,n_helpful
What's Your Blood Type?,2016.0,fdcc038a444e422dad759051308b9b7f,Others,Others,7.0,120.0,5/3/2016,5/3/2016,Others,Others,13+ - Teens 13 or older,Others,4662.0,7261.0,9.0,7.5,9.5,9.2,8.5,8.0
What's Up With These Kids!?,2016.0,8d5082483d154ad3846e1484ab20fbcc,Others,Others,6.0,780.0,11/16/2016,12/1/2016,"Wednesday, Thursday",Naver TV Cast,G - All Ages,A drama of teenagers experiencing and overcoming a financial crisis within the school. ,9159.0,5085.0,7.5,5.5,6.0,6.0,7.0,5.0
Lucky Romance,2016.0,976266a940314f6cad9b826c6d532617,['Kim Kyung Hee'],['Choi Yoon Kyo'],16.0,3600.0,5/25/2016,7/14/2016,"Wednesday, Thursday",MBC,15+ - Teens 15 or older,"When a traffic accident leaves her younger sister in a coma with little chance of survival, Shim Bo Nui turns to superstition in her desperation to save her only remaining family member. Two years later, her sister is still unconscious and pronounced to have little time left to live. When a trusted fortuneteller tells her that the only way to help her sister is to spend a night with a man born in the Year of the Tiger, Bo Nui sets out to do just that, no matter the cost.Born in the Year of the Tiger is Je Su Ho, a genius who rose to the top with his inborn skills and hard work and is now the CEO of a top gaming company. Su ho has no interest in dating and wants nothing to do with superstitions. He only believes in science and mathematics; his only love is coding.When these two get entangled with each other, is it already a recipe for disaster, or the start of an improbable romance? And what will the return of a childhood friend and a first love mean for these two?(Source: MyDramaList)~~ Adapted from the webtoon series.",3652.0,400.0,7.6,8.0,9.0,6.9,8.3,17.0
Weightlifting Fairy Kim Bok Joo,2016.0,1e6166835671493b8f361163f64997d0,"['Oh Hyun Jong', 'Nam Sung Woo']","['Yang Hee Seung', 'Kim Soo Jin']",16.0,3600.0,11/16/2016,1/11/2017,"Wednesday, Thursday",MBC,15+ - Teens 15 or older,"Bok Joo is a weightlifter who is pursuing her dream of winning the gold medal but she then finds romance for the first time in her life. While she is a woman who trains with heavy steel weights, she is also very feminine when it comes to relationships. Focusing solely on weightlifting would jeopardize her relationship but leaving her weightlifting career for love would keep her from attaining her dreams.Can she find a way to have love as well as glory at the age of 20? The characters within this drama are elite athletes in weightlifting, swimming and rhythmic gymnastics who work hard to reach their goals in life. It covers their coming-of-age stories and relationships through hectic life.(Source: MBC)~~ Inspired by the life of South Korean Olympic weightlifter gold-medalist Jang Mi Ran.",150.0,3.0,8.7,7.4,8.6,5.6,7.6,70.0
Wanted,2016.0,589ef9d805e64ce9b0401de350b84c85,['Park Yong Soon'],"['Han Ji Wan', 'Han Ji Wan']",16.0,3600.0,6/22/2016,8/18/2016,"Wednesday, Thursday",SBS,15+ - Teens 15 or older,"Jung Hye In is a top actress in Korea who reigns over dramas, movies, and commercials. However, her son is kidnapped on the day she announces her retirement. With the help of PD Shin Dong Wook and police detective Cha Seung In, she ends up participating in a live reality show where she follows the kidnapper’s orders, and in the process uncovers clues towards catching the culprit and finding her son. ",4058.0,2119.0,8.0,7.2,8.5,2.8,6.8,8.0
Bong Soon: A Cyborg in Love,2016.0,afb968de0c474547aaa6d81a0bc60593,Others,Others,12.0,900.0,5/12/2016,5/12/2016,Thursday,Naver TV Cast,Not Yet Rated,"Bong Soon is a cyborg woman, who has been programmed to shut down as soon as she feels an emotion: love. This romance depicts a touching love story between a genius computer programmer and a cyborg. ",8290.0,3397.0,7.5,8.0,7.5,6.0,7.8,4.0
"Please Come Back, Mister",2016.0,b5ef6c6931074fb5be30904d005a34e4,['Shin Yoon Sub'],['Noh Hye Young'],16.0,3600.0,2/24/2016,4/14/2016,"Wednesday, Thursday",SBS,15+ - Teens 15 or older,"Kim Young Soo is a department store worker who dies in an accident. Upon reaching the afterlife, he pleads for a chance to go back and clear up the misunderstandings surrounding his death and to comfort his newly widowed wife, Shin Da Hye. There with him is Han Gi Tak, a tough chef who also has loose ends to tie up concerning his death and those he left behind. The two are granted the chance to go back temporarily, but as new, different people, and with the condition that they cannot reveal their true identities. The return is made further complicated by the fact that Young Soo's body is identical to that of the new chief of the department store he used to work at, and Gi Tak comes back in the body of a woman. With only a short time to do everything they need to, the two have to work against all odds to make sure those they love will be ok without them.~~ Adapted from the novel ""Tsubakiyama Kacho no Nanokakan"" by Jiro Asada.",2347.0,418.0,8.0,8.1,8.7,5.6,8.0,13.0
The Promise,2016.0,9a1f9c7960b24609893b0146adc98446,['Jeon Woo Sung'],"['Heo In Moo', 'Kim Yeon Shin']",102.0,2100.0,2/1/2016,6/24/2016,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS2,15+ - Teens 15 or older,"Lee Na Yeon is made an orphan when chaebol heiress, Park Yu Gyeong, causes the death of her mother, Lee Yu Nae, in a traffic accident. Yu Nae and Yu Gyeong had been rivals in love for the same man, Jang Gyeong Wan, with Yu Gyeong ensnaring him into marriage by claiming the child she is carrying is his. Jang attempts to make amends for abandoning his college sweetheart by trying to give the orphaned Nayeon a home, to the anger of Yu Gyeong and the jealousy of his daughter, Se Jin. When Na Yeon discovers evidence that her mother's death may be more than an accident, she forgoes the chance of a life of wealth and privilege for an orphanage. Taken in by the widow of the man who ran down her mother, Na Yeon grows up alongside Tae Jun, an impoverished but driven and academically brilliant young man who becomes the love of her life. However, he cheats on her for his own success and goes with Se Jin.(Source: Wikipedia)",4268.0,3441.0,7.8,8.5,8.8,3.0,8.5,14.0
Choco Bank,2016.0,7c90c61a3f94461abac3f93f01b90495,['Jung Jung Hwa'],Others,6.0,840.0,2/15/2016,2/21/2016,"Monday, Tuesday, Wednesday, Thursday, Friday",Naver TV Cast,13+ - Teens 13 or older,"Kim Eun Haeng is a college graduate entering the workforce. His father made sure to give him a lucky start in life by bestowing him with a name that means money. Eun Haeng (meaning Bank in Korean), along with a young woman named Ha Cho Co who is getting ready to start a business, deal with concerns many in their 20s struggle with when they start working for the first time. The story plays out as the two meet and find out more about the financial service industry.",7819.0,1344.0,5.5,6.5,6.9,4.5,6.5,5.0
Cheese in the Trap,2016.0,b6cc5875d0a24cd182486e785f626dcd,['Lee Yoon Jung'],['Kim Nam Hee'],16.0,3900.0,1/4/2016,3/1/2016,"Monday, Tuesday",tvN,15+ - Teens 15 or older,"Having returned to college after a year long break due to her family's poor background, Hong Seol, a hardworking over-achiever, inadvertently gets on the wrong side of her senior, Yoo Jung, who's athletic, good looking, gets good grades and has a kind personality, as well as a hidden dark side. From then on her life takes a turn for the worse and Hong Seol is almost certain it's all Yoo Jung's doing. So why is he suddenly acting so friendly a year later?(Source: WeTV)~~ Adapted from the webtoon ""Cheese in the Trap"" (치즈인더트랩) by Soonkki (순끼).",6219.0,38.0,8.2,6.4,8.8,5.7,7.0,59.0
